window_size,num_group,pattern_length,Pattern,F1,Accuracy,Precision,Recall
10,2,8,"[['c', 'b', 'd', 'e', 'c', '.*', 'a', 'a'], ['e', '.*', 'd', '.*', 'f', 'd', '.*', 'e']]",0.23788546255506604,0.5664160401002506,0.17763157894736842,0.36
15,2,8,"[['a', '.*', 'd', '|', 'd', 'c', 'd', 'c'], ['e', 'd', '|', 'e', 'd', 'c', 'd', 'd']]",0.09876543209876544,0.8170426065162907,0.6666666666666666,0.05333333333333334
20,2,8,"[['c', '|', 'b', 'f', 'g', '|', 'b', 'c'], ['b', 'd', 'f', 'f', 'c', 'e', 'b', 'e']]",0.02631578947368421,0.8145363408521303,1.0,0.013333333333333334
10,2,9,"[['g', 'e', 'd', 'g', 'd', 'a', 'b', 'd', 'b'], ['a', 'f', 'e', 'g', 'e', 'c', 'c', '.*', 'e']]",0.0,0.8120300751879699,0.0,0.0
15,2,9,"[['g', '|', 'b', 'b', 'a', '.*', 'g', 'f', 'g'], ['g', '|', 'c', 'g', 'f', 'b', 'e', '|', 'b']]",0.0,0.8120300751879699,0.0,0.0
20,2,9,"[['f', 'g', 'c', '.*', 'b', 'g', 'e', 'g', 'e'], ['d', 'c', '|', 'a', 'e', 'c', 'b', 'b', 'b']]",0.0,0.8120300751879699,0.0,0.0
15,2,10,"[['g', 'f', 'f', 'b', 'a', 'b', '|', 'c', 'g', 'e'], ['e', 'c', '.*', 'g', '|', 'c', 'e', 'g', '.*', 'd']]",0.025641025641025644,0.8095238095238095,0.3333333333333333,0.013333333333333334
20,2,10,"[['e', '|', 'd', 'b', 'e', 'd', '.*', 'c', '.*', 'f'], ['g', 'c', 'e', 'e', '.*', 'a', 'd', 'g', 'c', 'f']]",0.04938271604938272,0.8070175438596491,0.3333333333333333,0.02666666666666667
15,2,11,"[['f', 'f', 'e', 'a', 'a', 'c', 'b', 'a', 'a', 'g', 'e'], ['d', '|', 'g', 'f', 'e', 'd', 'a', 'c', 'g', 'b', 'f']]",0.0,0.8120300751879699,0.0,0.0
20,2,11,"[['g', '|', 'g', 'd', 'c', 'b', 'f', 'd', '|', 'b', 'b'], ['e', 'g', 'f', '.*', 'd', 'f', '|', 'f', 'a', 'e', 'a']]",0.0,0.8120300751879699,0.0,0.0
15,2,12,"[['g', 'g', 'd', 'a', 'f', 'b', 'c', 'a', 'd', '.*', 'd', 'f'], ['a', 'f', 'b', '.*', 'e', 'a', '.*', 'c', 'a', 'c', 'a', 'd']]",0.0,0.8120300751879699,0.0,0.0
20,2,12,"[['g', 'g', 'g', 'b', 'c', 'a', 'f', 'b', 'e', 'g', 'a', 'e'], ['c', 'f', 'e', 'd', 'g', 'f', 'b', 'g', '.*', 'b', 'd', 'e']]",0.0,0.8120300751879699,0.0,0.0
15,2,13,"[['g', 'f', 'g', 'd', 'f', 'c', '|', 'f', 'b', 'g', 'b', 'b', 'f'], ['b', '.*', 'e', '|', 'f', 'e', 'a', 'b', 'g', 'f', 'a', 'b', 'g']]",0.0,0.8120300751879699,0.0,0.0
20,2,13,"[['g', 'c', 'f', 'd', 'b', 'b', 'd', 'a', 'f', 'g', 'e', 'b', 'b'], ['e', 'e', '.*', 'd', 'a', '|', 'b', 'e', 'b', 'a', 'g', 'f', 'f']]",0.0,0.8120300751879699,0.0,0.0
15,2,14,"[['g', 'g', '|', 'd', 'b', 'f', 'b', 'e', 'g', 'e', 'c', 'b', 'g', 'g'], ['c', 'c', 'f', 'f', 'f', 'a', 'c', 'e', 'c', 'g', 'g', '.*', 'b', 'e']]",0.0,0.8120300751879699,0.0,0.0
20,2,14,"[['f', 'e', 'b', 'f', 'd', '|', 'f', 'g', 'g', 'a', '.*', 'd', 'b', 'd'], ['c', 'c', 'c', 'b', 'c', 'd', '|', 'e', 'g', 'b', '.*', 'a', '|', 'a']]",0.0,0.8120300751879699,0.0,0.0
20,2,15,"[['f', 'e', '|', 'g', 'g', 'f', 'b', 'e', 'f', '.*', 'a', 'c', 'b', 'e', 'd'], ['g', 'f', 'd', 'd', 'c', '|', 'a', 'c', 'b', 'a', 'e', '|', 'd', 'c', 'b']]",0.0,0.8120300751879699,0.0,0.0
20,2,16,"[['f', 'g', '.*', '.*', 'e', 'a', '.*', 'b', 'c', 'c', 'b', 'f', 'e', 'c', 'c', 'f'], ['e', 'e', 'g', 'd', 'g', 'f', 'd', 'g', 'e', 'd', 'd', 'e', 'b', 'a', 'g', 'b']]",0.0,0.8120300751879699,0.0,0.0
20,2,17,"[['g', 'g', 'f', 'e', 'c', 'b', 'd', 'a', 'c', 'b', 'd', 'd', 'f', 'f', 'a', 'g', 'c'], ['g', 'f', 'b', 'c', 'c', 'b', 'c', '|', 'g', 'c', 'f', 'c', 'b', 'e', 'd', 'a', 'a']]",0.0,0.8120300751879699,0.0,0.0
20,2,18,"[['g', 'g', 'b', '|', 'c', 'g', 'f', 'd', 'c', 'e', 'd', '.*', 'b', 'a', '|', 'd', 'b', 'g'], ['e', 'e', 'a', 'e', 'd', 'b', 'f', 'b', 'd', 'e', 'b', '.*', 'g', 'c', 'a', '|', 'f', 'a']]",0.0,0.8120300751879699,0.0,0.0
20,2,19,"[['f', '|', 'f', 'd', 'b', 'f', 'f', 'g', 'f', '|', 'd', 'f', 'g', '.*', 'e', 'f', 'd', 'e', 'b'], ['a', 'g', 'g', 'e', 'e', '.*', 'c', 'a', 'c', 'd', 'a', 'c', 'c', 'g', '|', '.*', 'e', 'b', 'f']]",0.0,0.8120300751879699,0.0,0.0
10,3,5,"[['g', '.*', 'e', 'f', 'g'], ['f', 'a', 'c', 'g', 'f'], ['a', '|', 'd', 'd', 'e']]",0.2866449511400651,0.45112781954887216,0.1896551724137931,0.5866666666666667
15,3,5,"[['d', '|', 'd', 'b', 'a'], ['a', 'd', 'f', 'c', 'g'], ['b', '|', 'f', 'c', 'e']]",0.11940298507462688,0.7042606516290727,0.13559322033898305,0.10666666666666667
20,3,5,"[['f', '|', 'd', '.*', 'd'], ['e', 'd', 'f', '|', 'd'], ['a', '|', 'b', 'g', 'a']]",0.3164556962025316,0.18796992481203006,0.18796992481203006,1.0
10,3,6,"[['c', 'd', '|', 'd', 'd', 'c'], ['e', 'f', '.*', 'e', 'c', 'a'], ['c', '|', 'e', 'f', 'e', 'e']]",0.2028985507246377,0.7243107769423559,0.2222222222222222,0.18666666666666668
15,3,6,"[['f', '|', 'd', 'e', '|', 'f'], ['a', 'd', '.*', 'e', 'e', 'a'], ['f', 'a', 'b', '|', '|', 'd']]",0.3164556962025316,0.18796992481203006,0.18796992481203006,1.0
20,3,6,"[['c', 'e', 'g', 'b', 'd', 'e'], ['c', '|', 'c', '.*', 'e', 'e'], ['d', 'b', 'f', 'e', 'b', 'd']]",0.31419939577039274,0.43107769423558895,0.203125,0.6933333333333334
10,3,7,"[['g', 'b', 'g', 'f', 'd', 'a', 'g'], ['c', 'b', 'a', 'a', 'f', '|', 'b'], ['a', '|', 'b', 'd', '|', 'e', 'd']]",0.10256410256410256,0.7368421052631579,0.14285714285714285,0.08
15,3,7,"[['f', 'g', 'a', 'd', '.*', 'a', 'a'], ['b', 'c', '.*', 'f', '.*', 'c', 'd'], ['d', '.*', 'd', '|', 'd', 'b', 'e']]",0.06593406593406594,0.7869674185463659,0.1875,0.04
20,3,7,"[['d', 'a', '|', 'f', 'b', 'b', 'e'], ['g', 'b', 'g', 'e', 'e', 'c', 'd'], ['b', '.*', 'e', '|', 'b', 'c', 'f']]",0.023529411764705882,0.7919799498746867,0.1,0.013333333333333334
10,3,8,"[['e', 'g', '|', 'f', 'e', 'd', 'c', 'd'], ['c', 'c', 'g', 'g', 'g', '.*', 'd', 'f'], ['e', 'g', 'c', 'c', 'f', 'a', 'b', 'a']]",0.05128205128205129,0.8145363408521303,0.6666666666666666,0.02666666666666667
15,3,8,"[['a', 'c', 'g', 'c', 'a', 'g', 'f', 'e'], ['d', 'd', 'e', 'g', 'f', '.*', 'e', 'd'], ['a', '|', 'd', 'b', 'f', 'c', '|', 'f']]",0.0,0.8120300751879699,0.0,0.0
20,3,8,"[['g', '|', 'a', 'e', 'c', 'e', 'a', 'c'], ['c', 'f', 'f', 'e', 'b', 'f', 'f', 'b'], ['d', 'c', 'g', '|', 'c', 'c', '|', 'a']]",0.023809523809523808,0.7944862155388471,0.1111111111111111,0.013333333333333334
10,3,9,"[['a', 'g', 'a', 'b', 'c', '.*', 'a', '|', 'e'], ['b', 'd', 'c', 'e', 'f', 'a', '|', 'a', 'a'], ['d', 'f', '|', 'e', 'e', 'e', '|', 'a', 'c']]",0.0449438202247191,0.7869674185463659,0.14285714285714285,0.02666666666666667
15,3,9,"[['c', 'e', 'a', 'f', '.*', 'b', 'd', 'a', 'e'], ['e', '|', 'a', 'e', '|', 'd', 'd', 'b', 'e'], ['b', 'd', '.*', 'f', '.*', 'c', 'e', '.*', 'a']]",0.025974025974025976,0.8120300751879699,0.5,0.013333333333333334
20,3,9,"[['d', 'd', '.*', 'f', 'c', 'a', 'a', 'b', 'c'], ['f', 'd', 'e', '|', 'd', '|', 'c', 'c', 'e'], ['a', 'e', 'a', 'b', 'e', 'e', 'c', 'a', 'f']]",0.047058823529411764,0.7969924812030075,0.2,0.02666666666666667
15,3,10,"[['g', 'a', '.*', 'g', 'f', 'd', 'f', 'g', 'c', 'b'], ['d', 'e', 'd', 'c', '.*', 'd', 'c', 'g', '|', 'c'], ['e', 'b', 'f', 'c', '|', 'b', 'b', 'g', 'g', 'd']]",0.0,0.8070175438596491,0.0,0.0
20,3,10,"[['e', 'f', 'f', 'b', 'b', 'g', 'g', 'f', 'd', 'b'], ['b', 'e', '|', 'e', 'f', 'e', 'c', 'f', 'c', 'g'], ['e', '.*', 'e', '|', 'e', 'd', 'a', '|', 'c', 'g']]",0.025316455696202535,0.8070175438596491,0.25,0.013333333333333334
15,3,11,"[['g', 'c', 'e', 'e', 'a', 'b', '|', 'b', 'a', '.*', 'b'], ['g', 'f', 'd', '.*', 'c', 'g', 'b', '.*', 'f', '|', 'b'], ['f', 'e', 'f', 'g', 'c', 'e', 'c', '|', 'f', 'a', 'd']]",0.0,0.8120300751879699,0.0,0.0
20,3,11,"[['g', 'f', 'g', 'f', 'd', 'd', 'f', 'g', 'b', 'e', 'a'], ['g', 'g', '.*', 'd', 'd', 'c', '.*', 'f', 'e', 'f', 'e'], ['f', 'b', 'd', 'e', 'g', 'g', 'f', 'f', 'f', '.*', 'c']]",0.02631578947368421,0.8145363408521303,1.0,0.013333333333333334
15,3,12,"[['g', '.*', 'd', 'g', 'b', 'c', 'a', 'd', 'd', 'g', 'b', 'g'], ['c', '|', 'd', 'a', 'd', 'g', '.*', 'b', 'd', 'g', 'a', 'f'], ['d', 'e', 'g', 'g', '.*', 'f', 'e', 'g', 'a', 'a', 'a', 'g']]",0.0,0.8120300751879699,0.0,0.0
20,3,12,"[['g', '|', 'e', 'a', 'c', 'f', 'g', 'b', '|', 'a', 'c', 'c'], ['c', 'b', 'c', 'd', 'b', 'd', 'g', 'c', 'b', 'f', 'a', 'f'], ['g', '|', 'c', 'e', 'b', 'e', 'c', 'c', '|', '|', 'g', 'b']]",0.0,0.8120300751879699,0.0,0.0
15,3,13,"[['f', 'g', 'e', 'b', 'g', 'b', '.*', 'c', 'f', 'f', 'f', 'f', 'e'], ['g', 'a', 'a', 'a', 'f', 'g', 'f', '|', 'e', 'b', 'd', '.*', 'e'], ['f', '|', 'f', 'b', 'd', 'b', 'd', 'e', 'd', 'f', 'd', 'c', 'e']]",0.0,0.8120300751879699,0.0,0.0
20,3,13,"[['g', 'd', 'd', 'c', 'c', 'c', 'd', 'g', 'b', 'c', 'f', 'f', 'b'], ['b', 'g', 'd', '|', 'd', 'c', 'f', 'b', 'd', '|', 'e', 'b', 'c'], ['b', 'g', '|', 'e', 'c', '.*', 'd', 'c', 'c', '|', 'f', 'g', 'd']]",0.0,0.8120300751879699,0.0,0.0
15,3,14,"[['g', 'b', 'd', 'f', 'e', 'b', 'e', 'f', 'd', 'd', '|', 'b', 'a', 'f'], ['a', 'c', '|', 'g', '|', 'f', 'd', 'a', 'd', '.*', 'f', 'c', 'e', 'a'], ['f', 'd', '|', 'g', 'a', 'a', '.*', 'c', 'g', 'c', 'f', 'a', 'd', 'f']]",0.0,0.8120300751879699,0.0,0.0
20,3,14,"[['g', 'f', '.*', 'g', 'b', '.*', 'f', 'a', 'c', 'g', '|', '|', 'e', 'f'], ['a', 'd', 'd', '|', 'a', 'e', 'a', '.*', 'g', 'e', 'a', 'c', 'b', 'a'], ['e', 'e', 'a', 'a', 'f', 'a', 'b', 'd', '|', 'a', 'b', 'e', 'e', 'b']]",0.0,0.8120300751879699,0.0,0.0
20,3,15,"[['e', 'b', 'c', 'c', 'c', '|', 'e', 'd', 'c', 'f', 'a', 'b', 'f', 'd', 'b'], ['g', '|', 'd', 'f', 'g', 'a', 'a', 'b', 'e', '|', 'c', '.*', 'g', 'f', 'g'], ['c', 'b', 'b', 'f', 'd', 'e', 'a', '.*', 'e', 'g', 'd', '|', 'c', 'a', 'c']]",0.0,0.8120300751879699,0.0,0.0
20,3,16,"[['g', 'd', 'd', 'd', 'd', '|', 'c', 'a', 'f', '|', 'e', 'g', 'c', 'e', 'a', 'd'], ['d', '|', 'f', 'f', 'f', 'f', 'a', 'e', 'a', 'b', 'g', '.*', 'd', 'e', '|', 'b'], ['f', '|', 'b', 'e', '.*', 'f', 'f', 'c', 'c', '.*', 'e', 'e', 'b', 'b', 'g', 'a']]",0.0,0.8120300751879699,0.0,0.0
20,3,17,"[['g', '.*', 'd', 'f', '.*', 'g', 'e', 'e', 'f', 'a', 'e', 'a', 'g', 'g', 'f', '.*', 'c'], ['b', '.*', 'e', 'f', 'a', 'a', 'e', '|', 'e', '.*', 'f', 'a', 'a', 'g', 'g', 'g', 'e'], ['e', '|', 'g', 'e', 'b', '.*', 'd', 'e', '.*', 'f', 'c', '|', 'e', 'e', 'c', '|', 'e']]",0.0,0.8120300751879699,0.0,0.0
20,3,18,"[['f', 'a', 'c', 'b', '.*', 'f', 'g', 'g', 'd', 'e', 'f', 'd', 'c', '.*', 'e', 'f', 'c', 'd'], ['g', 'd', 'b', '.*', '.*', 'e', '.*', 'f', 'e', 'b', 'g', 'g', 'c', '.*', 'd', 'c', 'f', 'b'], ['d', '|', 'd', 'a', '.*', 'a', 'a', 'f', '|', 'e', 'e', 'c', 'd', 'a', '.*', 'g', 'a', 'c']]",0.0,0.8120300751879699,0.0,0.0
20,3,19,"[['g', 'e', 'd', 'a', '|', 'b', 'a', 'd', 'f', 'd', 'f', 'f', 'd', 'c', '|', 'd', 'e', 'd', 'g'], ['c', 'e', 'b', 'd', 'f', 'c', 'e', '|', '|', 'f', 'b', 'd', 'b', 'a', 'a', 'd', 'f', 'a', 'e'], ['g', 'b', 'd', 'b', 'f', 'd', '|', 'f', '.*', 'e', 'b', 'b', 'd', 'b', 'd', 'e', 'g', 'd', 'c']]",0.0,0.8120300751879699,0.0,0.0
